index,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,url
114,We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,-6,12,75,193,1,9,75,https://api.vagalume.com.br/search.php?art=Taylor%20Swift&mus=We%20Are%20Never%20Ever%20Getting%20Back%20Together&apikey=7789e585a72c1c95ab44a555ccc2b4e4
115,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,-4,11,68,222,5,5,74,https://api.vagalume.com.br/search.php?art=Kelly%20Clarkson&mus=Stronger%20%28What%20Doesn%27t%20Kill%20You%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
116,Try,P!nk,dance pop,2012,104,63,67,-7,9,55,248,0,3,74,https://api.vagalume.com.br/search.php?art=P%21nk&mus=Try&apikey=7789e585a72c1c95ab44a555ccc2b4e4
117,Starships,Nicki Minaj,dance pop,2012,125,72,75,-2,25,75,211,14,8,73,https://api.vagalume.com.br/search.php?art=Nicki%20Minaj&mus=Starships&apikey=7789e585a72c1c95ab44a555ccc2b4e4
118,One More Night,Maroon 5,pop,2012,93,82,72,-3,8,62,220,6,3,73,https://api.vagalume.com.br/search.php?art=Maroon%205&mus=One%20More%20Night&apikey=7789e585a72c1c95ab44a555ccc2b4e4
119,Good Time,Owl City,pop,2012,126,87,56,-4,37,68,206,2,14,73,https://api.vagalume.com.br/search.php?art=Owl%20City&mus=Good%20Time&apikey=7789e585a72c1c95ab44a555ccc2b4e4
120,Glad You Came,The Wanted,boy band,2012,127,85,72,-4,11,45,198,3,6,72,https://api.vagalume.com.br/search.php?art=The%20Wanted&mus=Glad%20You%20Came&apikey=7789e585a72c1c95ab44a555ccc2b4e4
121,Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60,-5,7,53,228,0,6,72,https://api.vagalume.com.br/search.php?art=Justin%20Bieber&mus=Beauty%20And%20A%20Beat&apikey=7789e585a72c1c95ab44a555ccc2b4e4
122,International Love,Pitbull,dance pop,2012,120,86,67,-3,34,65,227,1,5,72,https://api.vagalume.com.br/search.php?art=Pitbull&mus=International%20Love&apikey=7789e585a72c1c95ab44a555ccc2b4e4
123,Some Nights,fun.,baroque pop,2012,108,74,67,-7,9,39,277,2,5,72,https://api.vagalume.com.br/search.php?art=fun.&mus=Some%20Nights&apikey=7789e585a72c1c95ab44a555ccc2b4e4
124,Boyfriend,Justin Bieber,canadian pop,2012,97,55,72,-6,13,33,171,4,5,71,https://api.vagalume.com.br/search.php?art=Justin%20Bieber&mus=Boyfriend&apikey=7789e585a72c1c95ab44a555ccc2b4e4
125,Part Of Me,Katy Perry,dance pop,2012,130,92,68,-5,7,77,216,0,4,71,https://api.vagalume.com.br/search.php?art=Katy%20Perry&mus=Part%20Of%20Me&apikey=7789e585a72c1c95ab44a555ccc2b4e4
126,Domino,Jessie J,australian pop,2012,127,55,76,-5,4,78,232,1,3,69,https://api.vagalume.com.br/search.php?art=Jessie%20J&mus=Domino&apikey=7789e585a72c1c95ab44a555ccc2b4e4
127,Where Have You Been,Rihanna,barbadian pop,2012,128,85,72,-6,22,44,243,0,9,68,https://api.vagalume.com.br/search.php?art=Rihanna&mus=Where%20Have%20You%20Been&apikey=7789e585a72c1c95ab44a555ccc2b4e4
128,Wide Awake,Katy Perry,dance pop,2012,160,68,51,-5,39,57,221,7,4,68,https://api.vagalume.com.br/search.php?art=Katy%20Perry&mus=Wide%20Awake&apikey=7789e585a72c1c95ab44a555ccc2b4e4
129,The One That Got Away,Katy Perry,dance pop,2012,134,80,69,-4,16,88,227,0,4,67,https://api.vagalume.com.br/search.php?art=Katy%20Perry&mus=The%20One%20That%20Got%20Away&apikey=7789e585a72c1c95ab44a555ccc2b4e4
130,Dance Again,Jennifer Lopez,dance pop,2012,128,86,79,-5,10,71,237,2,7,66,https://api.vagalume.com.br/search.php?art=Jennifer%20Lopez&mus=Dance%20Again&apikey=7789e585a72c1c95ab44a555ccc2b4e4
131,Turn Up the Music,Chris Brown,dance pop,2012,130,84,59,-6,16,64,228,0,10,65,https://api.vagalume.com.br/search.php?art=Chris%20Brown&mus=Turn%20Up%20the%20Music&apikey=7789e585a72c1c95ab44a555ccc2b4e4
132,Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,68,-6,13,78,211,3,4,65,https://api.vagalume.com.br/search.php?art=Ellie%20Goulding&mus=Lights%20-%20Single%20Version&apikey=7789e585a72c1c95ab44a555ccc2b4e4
133,We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,64,38,-6,8,74,251,2,8,63,https://api.vagalume.com.br/search.php?art=fun.&mus=We%20Are%20Young%20%28feat.%20Janelle%20Mon%C3%A1e%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
134,Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,11,39,225,0,5,61,https://api.vagalume.com.br/search.php?art=Rihanna&mus=Diamonds&apikey=7789e585a72c1c95ab44a555ccc2b4e4
135,Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,96,72,-4,38,95,206,1,9,59,https://api.vagalume.com.br/search.php?art=Pitbull&mus=Don%27t%20Stop%20the%20Party%20%28feat.%20TJR%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
136,You Da One,Rihanna,barbadian pop,2012,127,72,70,-5,13,86,200,50,4,57,https://api.vagalume.com.br/search.php?art=Rihanna&mus=You%20Da%20One&apikey=7789e585a72c1c95ab44a555ccc2b4e4
137,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,65,-3,27,80,211,3,10,54,https://api.vagalume.com.br/search.php?art=Gym%20Class%20Heroes&mus=Stereo%20Hearts%20%28feat.%20Adam%20Levine%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
138,It Will Rain,Bruno Mars,pop,2012,150,84,58,-7,8,48,258,34,5,38,https://api.vagalume.com.br/search.php?art=Bruno%20Mars&mus=It%20Will%20Rain&apikey=7789e585a72c1c95ab44a555ccc2b4e4
139,Blow Me (One Last Kiss),P!nk,dance pop,2012,114,92,60,-3,25,75,256,0,4,0,https://api.vagalume.com.br/search.php?art=P%21nk&mus=Blow%20Me%20%28One%20Last%20Kiss%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
140,Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51,-5,21,69,230,0,5,88,https://api.vagalume.com.br/search.php?art=Kelly%20Clarkson&mus=Underneath%20the%20Tree&apikey=7789e585a72c1c95ab44a555ccc2b4e4
141,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,https://api.vagalume.com.br/search.php?art=Avicii&mus=Wake%20Me%20Up&apikey=7789e585a72c1c95ab44a555ccc2b4e4
142,Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,23,5,81,https://api.vagalume.com.br/search.php?art=One%20Direction&mus=Story%20of%20My%20Life&apikey=7789e585a72c1c95ab44a555ccc2b4e4
143,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,-7,13,44,243,35,5,81,https://api.vagalume.com.br/search.php?art=P%21nk&mus=Just%20Give%20Me%20a%20Reason%20%28feat.%20Nate%20Ruess%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
144,Hall of Fame,The Script,celtic rock,2013,85,87,42,-4,12,63,203,7,6,80,https://api.vagalume.com.br/search.php?art=The%20Script&mus=Hall%20of%20Fame&apikey=7789e585a72c1c95ab44a555ccc2b4e4
145,Roar,Katy Perry,dance pop,2013,180,77,55,-5,35,46,224,0,4,78,https://api.vagalume.com.br/search.php?art=Katy%20Perry&mus=Roar&apikey=7789e585a72c1c95ab44a555ccc2b4e4
146,We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,37,48,231,1,3,78,https://api.vagalume.com.br/search.php?art=Miley%20Cyrus&mus=We%20Can%27t%20Stop&apikey=7789e585a72c1c95ab44a555ccc2b4e4
147,Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,61,-3,12,44,213,11,5,78,https://api.vagalume.com.br/search.php?art=Swedish%20House%20Mafia&mus=Don%27t%20You%20Worry%20Child%20-%20Radio%20Edit&apikey=7789e585a72c1c95ab44a555ccc2b4e4
148,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,-9,10,86,248,4,4,77,https://api.vagalume.com.br/search.php?art=Daft%20Punk&mus=Get%20Lucky%20%28feat.%20Pharrell%20Williams%20%26%20Nile%20Rodgers%29%20-%20Radio%20Edit&apikey=7789e585a72c1c95ab44a555ccc2b4e4
149,Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,-6,11,35,221,41,3,77,https://api.vagalume.com.br/search.php?art=Miley%20Cyrus&mus=Wrecking%20Ball&apikey=7789e585a72c1c95ab44a555ccc2b4e4
150,Impossible,James Arthur,pop,2013,170,70,38,-5,11,30,209,14,9,77,https://api.vagalume.com.br/search.php?art=James%20Arthur&mus=Impossible&apikey=7789e585a72c1c95ab44a555ccc2b4e4
151,Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,8,84,264,0,4,76,https://api.vagalume.com.br/search.php?art=Robin%20Thicke&mus=Blurred%20Lines&apikey=7789e585a72c1c95ab44a555ccc2b4e4
152,Heart Attack,Demi Lovato,dance pop,2013,174,79,50,-5,24,50,211,7,10,76,https://api.vagalume.com.br/search.php?art=Demi%20Lovato&mus=Heart%20Attack&apikey=7789e585a72c1c95ab44a555ccc2b4e4
153,We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,68,63,-6,12,75,193,1,9,75,https://api.vagalume.com.br/search.php?art=Taylor%20Swift&mus=We%20Are%20Never%20Ever%20Getting%20Back%20Together&apikey=7789e585a72c1c95ab44a555ccc2b4e4
154,Die Young,Kesha,dance pop,2013,128,70,71,-5,22,80,212,0,5,75,https://api.vagalume.com.br/search.php?art=Kesha&mus=Die%20Young&apikey=7789e585a72c1c95ab44a555ccc2b4e4
155,Clarity,Zedd,complextro,2013,128,78,51,-3,7,18,271,4,7,75,https://api.vagalume.com.br/search.php?art=Zedd&mus=Clarity&apikey=7789e585a72c1c95ab44a555ccc2b4e4
156,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,57,-6,13,11,215,2,6,74,https://api.vagalume.com.br/search.php?art=Lana%20Del%20Rey&mus=Summertime%20Sadness%20%28Lana%20Del%20Rey%20Vs.%20Cedric%20Gervais%29%20-%20Cedric%20Gervais%20Remix&apikey=7789e585a72c1c95ab44a555ccc2b4e4
157,Under Control,Calvin Harris,dance pop,2013,126,92,54,-3,12,51,184,13,8,74,https://api.vagalume.com.br/search.php?art=Calvin%20Harris&mus=Under%20Control&apikey=7789e585a72c1c95ab44a555ccc2b4e4
158,Everybody Talks,Neon Trees,indie pop,2013,155,92,47,-4,31,73,177,0,6,74,https://api.vagalume.com.br/search.php?art=Neon%20Trees&mus=Everybody%20Talks&apikey=7789e585a72c1c95ab44a555ccc2b4e4
159,"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,77,-7,7,29,228,0,10,73,https://api.vagalume.com.br/search.php?art=Drake&mus=Hold%20On%2C%20We%27re%20Going%20Home&apikey=7789e585a72c1c95ab44a555ccc2b4e4
160,Best Song Ever,One Direction,boy band,2013,118,88,65,-3,8,49,200,2,5,73,https://api.vagalume.com.br/search.php?art=One%20Direction&mus=Best%20Song%20Ever&apikey=7789e585a72c1c95ab44a555ccc2b4e4
161,Kiss You,One Direction,boy band,2013,90,93,63,-3,32,91,183,2,6,73,https://api.vagalume.com.br/search.php?art=One%20Direction&mus=Kiss%20You&apikey=7789e585a72c1c95ab44a555ccc2b4e4
162,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,57,-4,6,58,213,20,11,72,https://api.vagalume.com.br/search.php?art=Calvin%20Harris&mus=Sweet%20Nothing%20%28feat.%20Florence%20Welch%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
163,Lose Yourself to Dance,Daft Punk,electro,2013,100,66,83,-8,8,67,354,8,6,72,https://api.vagalume.com.br/search.php?art=Daft%20Punk&mus=Lose%20Yourself%20to%20Dance&apikey=7789e585a72c1c95ab44a555ccc2b4e4
164,Work Bitch,Britney Spears,dance pop,2013,128,82,63,-7,7,85,248,16,16,71,https://api.vagalume.com.br/search.php?art=Britney%20Spears&mus=Work%20Bitch&apikey=7789e585a72c1c95ab44a555ccc2b4e4
165,Brave,Sara Bareilles,acoustic pop,2013,185,84,55,-4,4,76,221,1,5,71,https://api.vagalume.com.br/search.php?art=Sara%20Bareilles&mus=Brave&apikey=7789e585a72c1c95ab44a555ccc2b4e4
166,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,93,63,-4,10,88,258,3,8,70,https://api.vagalume.com.br/search.php?art=Macklemore%20%26%20Ryan%20Lewis&mus=Can%27t%20Hold%20Us%20%28feat.%20Ray%20Dalton%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
167,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,67,-4,34,54,230,4,16,70,https://api.vagalume.com.br/search.php?art=Pitbull&mus=Feel%20This%20Moment%20%28feat.%20Christina%20Aguilera%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
168,Beneath Your Beautiful,Labrinth,pop,2013,84,52,56,-6,10,23,272,23,4,70,https://api.vagalume.com.br/search.php?art=Labrinth&mus=Beneath%20Your%20Beautiful&apikey=7789e585a72c1c95ab44a555ccc2b4e4
169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,66,-7,37,25,252,25,4,70,https://api.vagalume.com.br/search.php?art=Ne-Yo&mus=Let%20Me%20Love%20You%20%28Until%20You%20Learn%20To%20Love%20Yourself%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
170,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,53,78,-7,5,66,236,6,29,69,https://api.vagalume.com.br/search.php?art=Macklemore%20%26%20Ryan%20Lewis&mus=Thrift%20Shop%20%28feat.%20Wanz%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,75,52,-6,14,16,215,26,4,69,https://api.vagalume.com.br/search.php?art=OneRepublic&mus=If%20I%20Lose%20Myself%20-%20Alesso%20vs%20OneRepublic&apikey=7789e585a72c1c95ab44a555ccc2b4e4
172,The Way,Ariana Grande,dance pop,2013,82,88,65,-3,8,86,227,29,11,68,https://api.vagalume.com.br/search.php?art=Ariana%20Grande&mus=The%20Way&apikey=7789e585a72c1c95ab44a555ccc2b4e4
173,Suit & Tie,Justin Timberlake,dance pop,2013,102,60,80,-4,16,36,326,10,22,68,https://api.vagalume.com.br/search.php?art=Justin%20Timberlake&mus=Suit%20%26%20Tie&apikey=7789e585a72c1c95ab44a555ccc2b4e4
174,#thatPOWER,will.i.am,dance pop,2013,128,61,80,-6,7,40,280,0,6,68,https://api.vagalume.com.br/search.php?art=will.i.am&mus=%23thatPOWER&apikey=7789e585a72c1c95ab44a555ccc2b4e4
175,I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71,-3,15,82,157,1,3,67,https://api.vagalume.com.br/search.php?art=Icona%20Pop&mus=I%20Love%20It%20%28feat.%20Charli%20XCX%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
176,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,72,-3,66,68,209,4,4,67,https://api.vagalume.com.br/search.php?art=David%20Guetta&mus=Play%20Hard%20%28feat.%20Ne-Yo%20%26%20Akon%29%20-%20New%20Edit&apikey=7789e585a72c1c95ab44a555ccc2b4e4
177,Daylight,Maroon 5,pop,2013,120,67,66,-5,26,37,225,0,3,66,https://api.vagalume.com.br/search.php?art=Maroon%205&mus=Daylight&apikey=7789e585a72c1c95ab44a555ccc2b4e4
178,Love Somebody,Maroon 5,pop,2013,120,78,68,-6,12,40,230,13,4,65,https://api.vagalume.com.br/search.php?art=Maroon%205&mus=Love%20Somebody&apikey=7789e585a72c1c95ab44a555ccc2b4e4
179,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,76,-6,9,52,241,1,18,65,https://api.vagalume.com.br/search.php?art=Fergie&mus=A%20Little%20Party%20Never%20Killed%20Nobody%20%28All%20We%20Got%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
180,Move,Little Mix,dance pop,2013,121,74,85,-5,55,77,224,0,9,63,https://api.vagalume.com.br/search.php?art=Little%20Mix&mus=Move&apikey=7789e585a72c1c95ab44a555ccc2b4e4
181,Walks Like Rihanna,The Wanted,boy band,2013,126,82,56,-3,10,43,202,1,6,62,https://api.vagalume.com.br/search.php?art=The%20Wanted&mus=Walks%20Like%20Rihanna&apikey=7789e585a72c1c95ab44a555ccc2b4e4
182,Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,47,-3,34,67,207,1,13,61,https://api.vagalume.com.br/search.php?art=Avril%20Lavigne&mus=Rock%20N%20Roll&apikey=7789e585a72c1c95ab44a555ccc2b4e4
183,Heartbreaker,Justin Bieber,canadian pop,2013,105,52,56,-7,34,58,263,14,10,61,https://api.vagalume.com.br/search.php?art=Justin%20Bieber&mus=Heartbreaker&apikey=7789e585a72c1c95ab44a555ccc2b4e4
184,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,58,-6,43,65,277,14,5,60,https://api.vagalume.com.br/search.php?art=Justin%20Timberlake&mus=Mirrors%20-%20Radio%20Edit&apikey=7789e585a72c1c95ab44a555ccc2b4e4
185,Next To Me,Emeli Sandé,dance pop,2013,95,80,67,-5,11,35,197,9,4,60,https://api.vagalume.com.br/search.php?art=Emeli%20Sand%C3%A9&mus=Next%20To%20Me&apikey=7789e585a72c1c95ab44a555ccc2b4e4
186,Made In The USA,Demi Lovato,dance pop,2013,87,86,58,-4,32,59,196,0,4,60,https://api.vagalume.com.br/search.php?art=Demi%20Lovato&mus=Made%20In%20The%20USA&apikey=7789e585a72c1c95ab44a555ccc2b4e4
187,Clown,Emeli Sandé,dance pop,2013,130,23,45,-8,11,23,221,92,4,60,https://api.vagalume.com.br/search.php?art=Emeli%20Sand%C3%A9&mus=Clown&apikey=7789e585a72c1c95ab44a555ccc2b4e4
188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,55,-6,15,34,271,9,31,59,https://api.vagalume.com.br/search.php?art=Alicia%20Keys&mus=Girl%20On%20Fire%20%28feat.%20Nicki%20Minaj%29%20-%20Inferno%20Version&apikey=7789e585a72c1c95ab44a555ccc2b4e4
189,TKO,Justin Timberlake,dance pop,2013,138,68,61,-7,43,49,424,1,24,58,https://api.vagalume.com.br/search.php?art=Justin%20Timberlake&mus=TKO&apikey=7789e585a72c1c95ab44a555ccc2b4e4
190,Come & Get It,Selena Gomez,dance pop,2013,80,79,55,-4,10,58,232,1,5,57,https://api.vagalume.com.br/search.php?art=Selena%20Gomez&mus=Come%20%26%20Get%20It&apikey=7789e585a72c1c95ab44a555ccc2b4e4
191,Live It Up,Jennifer Lopez,dance pop,2013,128,73,69,-5,33,65,244,1,17,57,https://api.vagalume.com.br/search.php?art=Jennifer%20Lopez&mus=Live%20It%20Up&apikey=7789e585a72c1c95ab44a555ccc2b4e4
192,We Own The Night,The Wanted,boy band,2013,104,94,55,-4,23,56,206,1,13,56,https://api.vagalume.com.br/search.php?art=The%20Wanted&mus=We%20Own%20The%20Night&apikey=7789e585a72c1c95ab44a555ccc2b4e4
193,Atlas,Coldplay,permanent wave,2013,136,45,28,-8,11,11,236,63,3,55,https://api.vagalume.com.br/search.php?art=Coldplay&mus=Atlas&apikey=7789e585a72c1c95ab44a555ccc2b4e4
194,What About Love,Austin Mahone,dance pop,2013,100,78,63,-7,4,28,203,0,4,54,https://api.vagalume.com.br/search.php?art=Austin%20Mahone&mus=What%20About%20Love&apikey=7789e585a72c1c95ab44a555ccc2b4e4
195,Take Back the Night,Justin Timberlake,dance pop,2013,107,66,59,-5,64,33,353,4,16,54,https://api.vagalume.com.br/search.php?art=Justin%20Timberlake&mus=Take%20Back%20the%20Night&apikey=7789e585a72c1c95ab44a555ccc2b4e4
196,Applause,Lady Gaga,dance pop,2013,140,78,67,-4,11,73,212,3,5,52,https://api.vagalume.com.br/search.php?art=Lady%20Gaga&mus=Applause&apikey=7789e585a72c1c95ab44a555ccc2b4e4
197,Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,70,-4,14,38,286,43,3,52,https://api.vagalume.com.br/search.php?art=Ellie%20Goulding&mus=Anything%20Could%20Happen&apikey=7789e585a72c1c95ab44a555ccc2b4e4
198,Finally Found You,Enrique Iglesias,dance pop,2013,128,88,62,-5,35,66,221,1,10,52,https://api.vagalume.com.br/search.php?art=Enrique%20Iglesias&mus=Finally%20Found%20You&apikey=7789e585a72c1c95ab44a555ccc2b4e4
199,Pom Poms,Jonas Brothers,boy band,2013,148,98,68,-2,28,90,198,7,9,52,https://api.vagalume.com.br/search.php?art=Jonas%20Brothers&mus=Pom%20Poms&apikey=7789e585a72c1c95ab44a555ccc2b4e4
200,#Beautiful,Mariah Carey,dance pop,2013,107,76,68,-5,31,45,200,29,4,51,https://api.vagalume.com.br/search.php?art=Mariah%20Carey&mus=%23Beautiful&apikey=7789e585a72c1c95ab44a555ccc2b4e4
201,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36,-3,37,51,211,9,48,50,https://api.vagalume.com.br/search.php?art=Little%20Mix&mus=How%20Ya%20Doin%27%3F%20%28feat.%20Missy%20Elliott%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
202,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,72,-4,13,50,229,4,4,46,https://api.vagalume.com.br/search.php?art=Kesha&mus=Crazy%20Kids%20%28feat.%20will.i.am%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
203,"Ooh La La (from The Smurfs 2)",Britney Spears,dance pop,2013,128,57,69,-5,11,73,257,2,5,45,https://api.vagalume.com.br/search.php?art=Britney%20Spears&mus=Ooh%20La%20La%20%28from%20%22The%20Smurfs%202%22%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
204,People Like Us,Kelly Clarkson,dance pop,2013,128,79,60,-5,36,61,259,4,4,45,https://api.vagalume.com.br/search.php?art=Kelly%20Clarkson&mus=People%20Like%20Us&apikey=7789e585a72c1c95ab44a555ccc2b4e4
205,Overdose,Ciara,dance pop,2013,107,70,77,-6,6,79,227,1,3,43,https://api.vagalume.com.br/search.php?art=Ciara&mus=Overdose&apikey=7789e585a72c1c95ab44a555ccc2b4e4
206,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,74,53,-6,24,45,186,0,4,42,https://api.vagalume.com.br/search.php?art=Rihanna&mus=Right%20Now%20-%20Dyro%20Radio%20Edit&apikey=7789e585a72c1c95ab44a555ccc2b4e4
207,Give It 2 U,Robin Thicke,dance pop,2013,127,83,67,-4,16,58,230,10,7,41,https://api.vagalume.com.br/search.php?art=Robin%20Thicke&mus=Give%20It%202%20U&apikey=7789e585a72c1c95ab44a555ccc2b4e4
208,Foolish Games,Jewel,alaska indie,2013,132,34,51,-11,12,7,250,23,3,36,https://api.vagalume.com.br/search.php?art=Jewel&mus=Foolish%20Games&apikey=7789e585a72c1c95ab44a555ccc2b4e4
209,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,84,71,-4,21,66,207,16,3,35,https://api.vagalume.com.br/search.php?art=Pitbull&mus=Outta%20Nowhere%20%28feat.%20Danny%20Mercer%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
210,Freak,Kelly Rowland,atl hip hop,2013,104,78,65,-5,12,45,274,13,6,28,https://api.vagalume.com.br/search.php?art=Kelly%20Rowland&mus=Freak&apikey=7789e585a72c1c95ab44a555ccc2b4e4
211,All of Me,John Legend,neo mellow,2014,120,26,42,-7,13,33,270,92,3,86,https://api.vagalume.com.br/search.php?art=John%20Legend&mus=All%20of%20Me&apikey=7789e585a72c1c95ab44a555ccc2b4e4
212,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,85,https://api.vagalume.com.br/search.php?art=Sam%20Smith&mus=Stay%20With%20Me&apikey=7789e585a72c1c95ab44a555ccc2b4e4
213,Summer,Calvin Harris,dance pop,2014,128,86,60,-4,14,74,223,2,3,80,https://api.vagalume.com.br/search.php?art=Calvin%20Harris&mus=Summer&apikey=7789e585a72c1c95ab44a555ccc2b4e4
214,"Happy - From Despicable Me 2",Pharrell Williams,dance pop,2014,160,82,65,-5,9,96,233,22,18,79,https://api.vagalume.com.br/search.php?art=Pharrell%20Williams&mus=Happy%20-%20From%20%22Despicable%20Me%202%22&apikey=7789e585a72c1c95ab44a555ccc2b4e4
215,Rude,MAGIC!,pop,2014,144,76,77,-5,31,93,225,4,4,79,https://api.vagalume.com.br/search.php?art=MAGIC%21&mus=Rude&apikey=7789e585a72c1c95ab44a555ccc2b4e4
216,Shake It Off,Taylor Swift,pop,2014,160,80,65,-5,33,94,219,6,17,78,https://api.vagalume.com.br/search.php?art=Taylor%20Swift&mus=Shake%20It%20Off&apikey=7789e585a72c1c95ab44a555ccc2b4e4
217,Dark Horse,Katy Perry,dance pop,2014,132,59,65,-6,17,35,216,0,5,78,https://api.vagalume.com.br/search.php?art=Katy%20Perry&mus=Dark%20Horse&apikey=7789e585a72c1c95ab44a555ccc2b4e4
218,Hey Brother,Avicii,big room,2014,125,78,55,-5,8,46,255,3,4,78,https://api.vagalume.com.br/search.php?art=Avicii&mus=Hey%20Brother&apikey=7789e585a72c1c95ab44a555ccc2b4e4
219,Maps,Maroon 5,pop,2014,120,71,74,-6,6,88,190,2,3,78,https://api.vagalume.com.br/search.php?art=Maroon%205&mus=Maps&apikey=7789e585a72c1c95ab44a555ccc2b4e4
220,Treasure,Bruno Mars,pop,2014,116,69,87,-5,32,94,179,4,4,77,https://api.vagalume.com.br/search.php?art=Bruno%20Mars&mus=Treasure&apikey=7789e585a72c1c95ab44a555ccc2b4e4
221,Let Her Go,Passenger,folk-pop,2014,75,54,51,-7,10,24,253,39,6,77,https://api.vagalume.com.br/search.php?art=Passenger&mus=Let%20Her%20Go&apikey=7789e585a72c1c95ab44a555ccc2b4e4
222,Problem,Ariana Grande,dance pop,2014,103,81,66,-5,16,63,194,2,15,75,https://api.vagalume.com.br/search.php?art=Ariana%20Grande&mus=Problem&apikey=7789e585a72c1c95ab44a555ccc2b4e4
223,Pompeii,Bastille,metropopolis,2014,127,72,68,-6,27,57,214,8,4,73,https://api.vagalume.com.br/search.php?art=Bastille&mus=Pompeii&apikey=7789e585a72c1c95ab44a555ccc2b4e4
224,Team,Lorde,art pop,2014,100,58,69,-7,31,42,193,17,9,73,https://api.vagalume.com.br/search.php?art=Lorde&mus=Team&apikey=7789e585a72c1c95ab44a555ccc2b4e4
225,Love Me Again,John Newman,pop,2014,126,89,50,-5,10,21,240,0,4,73,https://api.vagalume.com.br/search.php?art=John%20Newman&mus=Love%20Me%20Again&apikey=7789e585a72c1c95ab44a555ccc2b4e4
226,Latch,Disclosure,house,2014,122,73,50,-5,9,52,256,2,17,72,https://api.vagalume.com.br/search.php?art=Disclosure&mus=Latch&apikey=7789e585a72c1c95ab44a555ccc2b4e4
227,Adore You,Miley Cyrus,dance pop,2014,120,66,58,-5,11,20,279,11,3,72,https://api.vagalume.com.br/search.php?art=Miley%20Cyrus&mus=Adore%20You&apikey=7789e585a72c1c95ab44a555ccc2b4e4
